Q20,Q30,EHFB,HFBROT
39200.0,0.0,-1773.850372,-1778.54478
39200.0,6000.0,-1775.308678,-1780.03089
39200.0,12000.0,-1776.985258,-1781.716777
39200.0,18000.0,-1778.866258,-1783.592167
39200.0,24000.0,-1781.016083,-1785.72892
39200.0,30000.0,-1783.57895,-1788.255016
39200.0,36000.0,-1786.408662,-1791.021092
39200.0,42000.0,-1788.232695,-1792.851237
39200.0,48000.0,-1787.558979,-1792.219331
39200.0,54000.0,-1785.300865,-1789.969411
39200.0,60000.0,-1783.051015,-1787.71601
40000.0,0.0,-1775.233038,-1779.931936
40000.0,6000.0,-1776.645598,-1781.365017
40000.0,12000.0,-1778.251685,-1782.983121
40000.0,18000.0,-1780.03954,-1784.766286
40000.0,24000.0,-1782.084867,-1786.799816
40000.0,30000.0,-1784.476101,-1789.16354
40000.0,36000.0,-1787.254534,-1791.883314
40000.0,42000.0,-1789.31991,-1793.913679
40000.0,48000.0,-1789.337231,-1793.991556
40000.0,54000.0,-1787.373543,-1792.041947
40000.0,60000.0,-1785.097746,-1789.764663
40800.0,0.0,-1776.57394,-1781.27352
40800.0,6000.0,-1777.94439,-1782.664751
40800.0,12000.0,-1779.477335,-1784.209478
40800.0,18000.0,-1781.209841,-1785.935838
40800.0,24000.0,-1783.147805,-1787.865196
40800.0,30000.0,-1785.380984,-1790.076127
40800.0,36000.0,-1788.040025,-1792.681611
40800.0,42000.0,-1790.279793,-1794.87598
40800.0,48000.0,-1790.956227,-1795.603531
40800.0,54000.0,-1789.395732,-1794.062709
40800.0,60000.0,-1787.097302,-1791.765272
41600.0,0.0,-1777.875462,-1782.579702
41600.0,6000.0,-1779.199765,-1783.921526
41600.0,12000.0,-1780.690723,-1785.422161
41600.0,18000.0,-1782.346332,-1787.073168
41600.0,24000.0,-1784.182965,-1788.9021
41600.0,30000.0,-1786.282336,-1790.982854
41600.0,36000.0,-1788.77722,-1793.431696
